sep=\t	Library Name	Location Name	Call # Begin	Call # End	Image file	Sub-location name	Note display text
#			741_000000000000000_945B	743_000000000000000_49C	shelf108.gif	Floor 1M	
!!		Brooklyn Stacks					
#			743_000000000000000_49C	745_000000000000000_1K	shelf109.gif	Floor 1M	
!!		Brooklyn Stacks					
#			745_000000000000000_1K	745_000000000000000_4I	shelf110.gif	Floor 1M	
!!		Brooklyn Stacks					
#			745_000000000000000_4I	745_000000000000000_5F	shelf111.gif	Floor 1M	
!!		Brooklyn Stacks					
#			745_000000000000000_5F	745_000000000000000_92Y	shelf112.gif	Floor 1M	
!!		Brooklyn Stacks					
#			745_000000000000000_92Y	746_000000000000000_6V	shelf113.gif	Floor 2	
!!		Brooklyn Stacks					
#			746_000000000000000_6V	747_000000000000000_094L	shelf114.gif	Floor 2	
!!		Brooklyn Stacks					
#			747_000000000000000_094L	747_000000000000000_852H	shelf115.gif	Floor 2	
!!		Brooklyn Stacks					
#			747_000000000000000_852H	749R	shelf116.gif	Floor 2	
!!		Brooklyn Stacks					
#			749R	749_000000000000000_32K	shelf117.gif	Floor 2	
!!		Brooklyn Stacks					
#			749_000000000000000_32K	751_000000000000000_73B	shelf118.gif	Floor 2	
!!		Brooklyn Stacks					
#			751_000000000000000_73B	759L	shelf119.gif	Floor 2	
!!		Brooklyn Stacks					
#			759L	759_000000000000000_0652N	shelf120.gif	Floor 2	
!!		Brooklyn Stacks					
#			759_000000000000000_0652N	759_000000000000000_1D	shelf121.gif	Floor 2	
!!		Brooklyn Stacks					
#			759_000000000000000_1D	759_000000000000000_1H766	shelf122.gif	Floor 2	
!!		Brooklyn Stacks					
#			759_000000000000000_1H766	759_000000000000000_1N	shelf123.gif	Floor 2	
!!		Brooklyn Stacks					
#			759_000000000000000_1N	759_000000000000000_1S634W	shelf124.gif	Floor 2	
!!		Brooklyn Stacks					
#			759_000000000000000_1S634W	759_000000000000000_2F	shelf125.gif	Floor 2	
!!		Brooklyn Stacks					
#			759_000000000000000_2F	759_000000000000000_3A	shelf126.gif	Floor 2	
!!		Brooklyn Stacks					
#			759_000000000000000_3A	759_000000000000000_36K	shelf127.gif	Floor 2	
!!		Brooklyn Stacks					
#			759_000000000000000_36K	759_000000000000000_4D317	shelf128.gif	Floor 2	
!!		Brooklyn Stacks					
#			759_000000000000000_4D317	759_000000000000000_4M27	shelf129.gif	Floor 2	
!!		Brooklyn Stacks					
#			759_000000000000000_4M27	759_000000000000000_4T7258	shelf130.gif	Floor 2	
!!		Brooklyn Stacks					
#			759_000000000000000_4T7258	759_000000000000000_5B489	shelf131.gif	Floor 2	
!!		Brooklyn Stacks					
#			759_000000000000000_5B489	759_000000000000000_5L581	shelf132.gif	Floor 2	
!!		Brooklyn Stacks					
#			759_000000000000000_5L581	759_000000000000000_55T454	shelf133.gif	Floor 2	
!!		Brooklyn Stacks					
#			759_000000000000000_55T454	759_000000000000000_8M963	shelf134.gif	Floor 2	
!!		Brooklyn Stacks					
#			759_000000000000000_8M963	759_000000000000000_9492M	shelf135.gif	Floor 2	
!!		Brooklyn Stacks					
#			759_000000000000000_9492M	759_000000000000000_951F	shelf136.gif	Floor 2	
!!		Brooklyn Stacks					
#			759_000000000000000_951F	764C	shelf137.gif	Floor 2	
!!		Brooklyn Stacks					
#			764C	769_000000000000000_943N	shelf138.gif	Floor 2	
!!		Brooklyn Stacks					
#			769_000000000000000_943N	769_952000000000000	shelf139.gif	Floor 2	
!!		Brooklyn Stacks					
#			769_952000000000000	770L	shelf140.gif	Floor 2	
!!		Brooklyn Stacks					
#			770L	770_000000000000000_5P	shelf141.gif	Floor 2	
!!		Brooklyn Stacks					
#			770_000000000000000_5P	770_000000000000000_973G	shelf142.gif	Floor 2	
!!		Brooklyn Stacks					
#			770_000000000000000_973G	778_000000000000000_6H	shelf143.gif	Floor 2	
!!		Brooklyn Stacks					
#			778_000000000000000_6H	779A	shelf144.gif	Floor 2	
!!		Brooklyn Stacks					
#			779A	779F	shelf145.gif	Floor 2	
!!		Brooklyn Stacks					
#			779F	779M	shelf146.gif	Floor 2	
!!		Brooklyn Stacks					
#			779M	779S	shelf147.gif	Floor 2	
!!		Brooklyn Stacks					
#			779S	780_000000000000000_92C	shelf148.gif	Floor 2	
!!		Brooklyn Stacks					
#			780_000000000000000_92C	784_000000000000000_19H	shelf149.gif	Floor 2	
!!		Brooklyn Stacks					
#			784_000000000000000_19H	791_000000000000000_43015M	shelf150.gif	Floor 2	
!!		Brooklyn Stacks					
#			791_000000000000000_43015M	791_000000000000000_437F	shelf151.gif	Floor 2	
!!		Brooklyn Stacks					
#			791_000000000000000_437F	792_000000000000000_0945N	shelf152.gif	Floor 2	
!!		Brooklyn Stacks					
#			792_000000000000000_0945N	799_990000000000000	shelf153.gif	Floor 2	
!!		Brooklyn Stacks					
#			800_000000000000000	808_000000000000000_3G	shelf154.gif	Floor 2M	
!!		Brooklyn Stacks					
#			808_000000000000000_3G	809_000000000000000_1H	shelf155.gif	Floor 2M	
!!		Brooklyn Stacks					
#			809_000000000000000_1H	810_000000000000000_99S	shelf156.gif	Floor 2M	
!!		Brooklyn Stacks					
#			810_000000000000000_99S	811O	shelf157.gif	Floor 2M	
!!		Brooklyn Stacks					
#			811O	812M	shelf158.gif	Floor 2M	
!!		Brooklyn Stacks					
#			812M	813H	shelf159.gif	Floor 2M	
!!		Brooklyn Stacks					
#			813H	814_000000000000000_6P	shelf160.gif	Floor 2M	
!!		Brooklyn Stacks					
#			814_000000000000000_6P	818T	shelf161.gif	Floor 2M	
!!		Brooklyn Stacks					
#			818T	821C	shelf162.gif	Floor 2M	
!!		Brooklyn Stacks					
#			821C	821Y	shelf163.gif	Floor 2M	
!!		Brooklyn Stacks					
#			821Y	822_000000000000000_04F	shelf164.gif	Floor 2M	
!!		Brooklyn Stacks					
#			822_000000000000000_04F	823C	shelf165.gif	Floor 2M	
!!		Brooklyn Stacks					
#			823C	824L	shelf166.gif	Floor 2M	
!!		Brooklyn Stacks					
#			824L	828_000000000000000_08L	shelf167.gif	Floor 2M	
!!		Brooklyn Stacks					
#			828_000000000000000_08L	842H	shelf168.gif	Floor 2M	
!!		Brooklyn Stacks					
#			842H	860F	shelf169.gif	Floor 2M	
!!		Brooklyn Stacks					
#			860F	888_000000000000000_4D	shelf170.gif	Floor 2M	
!!		Brooklyn Stacks					
#			888_000000000000000_4D	895_000000000000000_6B	shelf171.gif	Floor 2M	
!!		Brooklyn Stacks					
#			895_000000000000000_6B	910_000000000000000_28G	shelf172.gif	Floor 2M	
!!		Brooklyn Stacks					
#			910_000000000000000_28G	915_000000000000000_2H	shelf173.gif	Floor 2M	
!!		Brooklyn Stacks					
#			915_000000000000000_2H	917_000000000000000_56M	shelf174.gif	Floor 2M	
!!		Brooklyn Stacks					
#			917_000000000000000_56M	935B	shelf175.gif	Floor 2M	
!!		Brooklyn Stacks					
#			935B	941_000000000000000_081V	shelf176.gif	Floor 2M	
!!		Brooklyn Stacks					
#			941_000000000000000_081V	945_000000000000000_05B	shelf177.gif	Floor 2M	
!!		Brooklyn Stacks					
